Record Id,Record Id,Search Name,Srch Created,Type of Case,Subject,Case Mgr,Primary Law Firm,Search Stage,Search Failed Date,K Date,Hours Reported,Source,Division,NOS,Clone?,Billing Date,Last Billed Date
zcrm_1936942000200574152,zcrm_1936942000221017083,VertThomas_HuschBlackwell_FOSBEL,20-Feb-24,Intellectual Property,Chemicals - Nonpharmaceuticals,Susanna Ryan,Husch Blackwell LLP,Cases Underway (5),,16-May-24,10.5,Outbound,Patent,,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000200574152,zcrm_1936942000224417085,VertThomas_HuschBlackwell_FOSBEL,20-Feb-24,Intellectual Property,Chemicals - Nonpharmaceuticals,Susanna Ryan,Husch Blackwell LLP,Cases Underway (5),,16-May-24,7.5,Outbound,Patent,,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000204419001,zcrm_1936942000224417104,BrodwaterBrian_Tensegrity_AXONICS,18-Mar-24,Intellectual Property,Biotechnology,Susanna Ryan,Tensegrity Law Group,Cases Underway (5),,15-May-24,3.75,Inbound,Patent,,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000204159168,zcrm_1936942000221017177,CrosbyPeter_Winston_ABBOTT,15-Mar-24,Intellectual Property,Electro Mechanical Design,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,11-May-24,0,Outbound,Patent,830 Patent,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000204159168,zcrm_1936942000216407468,CrosbyPeter_Winston_ABBOTT,15-Mar-24,Intellectual Property,Electro Mechanical Design,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,11-May-24,0,Outbound,Patent,830 Patent,FALSE,31-May-24,31-Jul-24
zcrm_1936942000204159168,zcrm_1936942000224417041,CrosbyPeter_Winston_ABBOTT,15-Mar-24,Intellectual Property,Electro Mechanical Design,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,11-May-24,46.2,Outbound,Patent,830 Patent,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000202944389,zcrm_1936942000221017105,LeeWenke_BURSORFISHERandLEUNGLAW_Mallouketal,7-Mar-24,Class Action,Technology,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,8-May-24,5,Inbound,Expansion,,FALSE,30-Jun-24,
zcrm_1936942000197399074,zcrm_1936942000221017110,MeekerJohn_WOOLTRIALLAW_Mayes,30-Jan-24,Tort,Medical,Kara Magid,Wool Trial Law,Cases Completed (6),,6-May-24,3.5,Inbound,Expansion,,FALSE,30-Jun-24,30-Jun-24
zcrm_1936942000197399074,zcrm_1936942000216407299,MeekerJohn_WOOLTRIALLAW_Mayes,30-Jan-24,Tort,Medical,Kara Magid,Wool Trial Law,Cases Completed (6),,6-May-24,0,Inbound,Expansion,,FALSE,31-May-24,30-Jun-24
zcrm_1936942000184993197,zcrm_1936942000221017070,BretschneiderEric_SillsCummis_ZHEJIANGYANKON,16-Oct-23,Intellectual Property,Building and Construction,Susanna Ryan,Sills Cummis & Gross P.C.,Cases Underway (5),,6-May-24,16.5,Inbound,Patent,,FALSE,30-Jun-24,30-Jun-24
zcrm_1936942000184993197,zcrm_1936942000224417164,BretschneiderEric_SillsCummis_ZHEJIANGYANKON,16-Oct-23,Intellectual Property,Building and Construction,Susanna Ryan,Sills Cummis & Gross P.C.,Cases Underway (5),,6-May-24,0,Inbound,Patent,,FALSE,31-Jul-24,30-Jun-24
zcrm_1936942000201831232,,MonjazebArta_WOLFGREENFIELD_AmGen,28-Feb-24,Unfiled,Pharmaceuticals,Susanna Ryan,Wolf Greenfield & Sacks,Cases Underway (5),,3-May-24,,Inbound,Patent,,TRUE,,
zcrm_1936942000205772408,zcrm_1936942000224419078,OcchiogrossoBen_ClaytonMcKayBailey_SOTA,27-Mar-24,,Technology,Christopher Park,Clayton McKay & Bailey,Cases Underway (5),,1-May-24,0,Outbound,Patent,,FALSE,31-Jul-24,30-Jun-24
zcrm_1936942000205772408,zcrm_1936942000221017051,OcchiogrossoBen_ClaytonMcKayBailey_SOTA,27-Mar-24,,Technology,Christopher Park,Clayton McKay & Bailey,Cases Underway (5),,1-May-24,47.75,Outbound,Patent,,FALSE,30-Jun-24,30-Jun-24
zcrm_1936942000205849249,zcrm_1936942000221017132,AllisonGeneveMarie_SQUITIERIFEARON_Donoue,28-Mar-24,Class Action,Medical,Amy Perkins,"Squitieri & Fearon, LLP",Cases Underway (5),,26-Apr-24,1,Inbound,Expansion,195 Contract Product Liability,TRUE,30-Jun-24,30-Jun-24
zcrm_1936942000205849249,zcrm_1936942000212118381,AllisonGeneveMarie_SQUITIERIFEARON_Donoue,28-Mar-24,Class Action,Medical,Amy Perkins,"Squitieri & Fearon, LLP",Cases Underway (5),,26-Apr-24,0,Inbound,Expansion,195 Contract Product Liability,TRUE,30-Apr-24,30-Jun-24
zcrm_1936942000205849249,zcrm_1936942000216407226,AllisonGeneveMarie_SQUITIERIFEARON_Donoue,28-Mar-24,Class Action,Medical,Amy Perkins,"Squitieri & Fearon, LLP",Cases Underway (5),,26-Apr-24,3.5,Inbound,Expansion,195 Contract Product Liability,TRUE,31-May-24,30-Jun-24
zcrm_1936942000205849249,zcrm_1936942000224417145,AllisonGeneveMarie_SQUITIERIFEARON_Donoue,28-Mar-24,Class Action,Medical,Amy Perkins,"Squitieri & Fearon, LLP",Cases Underway (5),,26-Apr-24,0,Inbound,Expansion,195 Contract Product Liability,TRUE,31-Jul-24,30-Jun-24
zcrm_1936942000204772192,zcrm_1936942000224206682,NealDavid_ChiacchioIP_DAVIDIANSEVENTHDAY,20-Mar-24,Intellectual Property,Consumer Business,Christopher Park,"Chiacchio IP, LLC",Cases Underway (5),,24-Apr-24,4,Inbound,Patent,,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000204772192,zcrm_1936942000224417082,NealDavid_ChiacchioIP_DAVIDIANSEVENTHDAY,20-Mar-24,Intellectual Property,Consumer Business,Christopher Park,"Chiacchio IP, LLC",Cases Underway (5),,24-Apr-24,4,Inbound,Patent,,FALSE,31-May-24,31-Jul-24
zcrm_1936942000204117027,zcrm_1936942000212118548,KleutghenPaul_HAGENSBERMAN_LouisianaHealth,15-Mar-24,Class Action,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,410 Anti-Trust,TRUE,30-Apr-24,
zcrm_1936942000204117027,zcrm_1936942000224417271,KleutghenPaul_HAGENSBERMAN_LouisianaHealth,15-Mar-24,Class Action,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,410 Anti-Trust,TRUE,31-Jul-24,
zcrm_1936942000204117027,zcrm_1936942000216407229,KleutghenPaul_HAGENSBERMAN_LouisianaHealth,15-Mar-24,Class Action,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,410 Anti-Trust,TRUE,31-May-24,
zcrm_1936942000204117027,zcrm_1936942000221017274,KleutghenPaul_HAGENSBERMAN_LouisianaHealth,15-Mar-24,Class Action,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,410 Anti-Trust,TRUE,30-Jun-24,
zcrm_1936942000189523080,zcrm_1936942000224417176,CooperstockJeremy_King_Spaulding_EVISION,17-Nov-23,Intellectual Property,Technology,Susanna Ryan,King & Spalding LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,,FALSE,31-Jul-24,
zcrm_1936942000189523080,zcrm_1936942000212118421,CooperstockJeremy_King_Spaulding_EVISION,17-Nov-23,Intellectual Property,Technology,Susanna Ryan,King & Spalding LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,,FALSE,30-Apr-24,
zcrm_1936942000189523080,zcrm_1936942000216488287,CooperstockJeremy_King_Spaulding_EVISION,17-Nov-23,Intellectual Property,Technology,Susanna Ryan,King & Spalding LLP,Cases Underway (5),,24-Apr-24,0,Inbound,Patent,,FALSE,31-May-24,
zcrm_1936942000204147266,,SkeenMark_HAGENSBERMAN_FWKHoldings,15-Mar-24,Antitrust,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,23-Apr-24,,Inbound,Patent,410 Anti-Trust,FALSE,,
zcrm_1936942000203527093,zcrm_1936942000221017042,HowardWilliamStamps_StoelRives_EMERGINGACQUISITION,11-Mar-24,Intellectual Property,Environmental,Susanna Ryan,Stoel Rives LLP,Cases Underway (5),,19-Apr-24,107,Inbound,Patent,830 Patent,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000203527093,zcrm_1936942000224417040,HowardWilliamStamps_StoelRives_EMERGINGACQUISITION,11-Mar-24,Intellectual Property,Environmental,Susanna Ryan,Stoel Rives LLP,Cases Underway (5),,19-Apr-24,47.9,Inbound,Patent,830 Patent,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000203527093,zcrm_1936942000216488233,HowardWilliamStamps_StoelRives_EMERGINGACQUISITION,11-Mar-24,Intellectual Property,Environmental,Susanna Ryan,Stoel Rives LLP,Cases Underway (5),,19-Apr-24,24.4,Inbound,Patent,830 Patent,FALSE,31-May-24,31-Jul-24
zcrm_1936942000203527093,zcrm_1936942000212118517,HowardWilliamStamps_StoelRives_EMERGINGACQUISITION,11-Mar-24,Intellectual Property,Environmental,Susanna Ryan,Stoel Rives LLP,Cases Underway (5),,19-Apr-24,0,Inbound,Patent,830 Patent,FALSE,30-Apr-24,31-Jul-24
zcrm_1936942000204544001,zcrm_1936942000212118412,BudoffMatthew_TREEHOUSELAW_Magpayoetal,19-Mar-24,Class Action,Consumer Business,Kara Magid,"Treehouse Law, LLP",Cases Underway (5),,18-Apr-24,3,Inbound,Expansion,370 Other Fraud or Truth in Lending,FALSE,30-Apr-24,30-Apr-24
zcrm_1936942000194241080,zcrm_1936942000212160463,VorstKeith_BURSORFISHER_Humphreyetal,4-Jan-24,Class Action,Consumer Business,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,18-Apr-24,0,Outbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,30-Apr-24,
zcrm_1936942000194241080,zcrm_1936942000224419144,VorstKeith_BURSORFISHER_Humphreyetal,4-Jan-24,Class Action,Consumer Business,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,18-Apr-24,0,Outbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,31-Jul-24,
zcrm_1936942000194241080,zcrm_1936942000221019149,VorstKeith_BURSORFISHER_Humphreyetal,4-Jan-24,Class Action,Consumer Business,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,18-Apr-24,0,Outbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,30-Jun-24,
zcrm_1936942000194241080,zcrm_1936942000216407251,VorstKeith_BURSORFISHER_Humphreyetal,4-Jan-24,Class Action,Consumer Business,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,18-Apr-24,0,Outbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,31-May-24,
zcrm_1936942000207934187,zcrm_1936942000216407224,PhillipsErin_BURSOR&FISHERPA_Sidhuetal,5-Feb-24,Class Action,,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,16-Apr-24,16,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,31-May-24,30-Jun-24
zcrm_1936942000207934187,zcrm_1936942000212118620,PhillipsErin_BURSOR&FISHERPA_Sidhuetal,5-Feb-24,Class Action,,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,16-Apr-24,0,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,30-Apr-24,30-Jun-24
zcrm_1936942000207934187,zcrm_1936942000224419089,PhillipsErin_BURSOR&FISHERPA_Sidhuetal,5-Feb-24,Class Action,,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,16-Apr-24,0,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,31-Jul-24,30-Jun-24
zcrm_1936942000207934187,zcrm_1936942000221017054,PhillipsErin_BURSOR&FISHERPA_Sidhuetal,5-Feb-24,Class Action,,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,16-Apr-24,37,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,30-Jun-24,30-Jun-24
zcrm_1936942000202942071,zcrm_1936942000212118542,KiaOmid_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Technology,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,16-Apr-24,0,Inbound,Patent,,FALSE,30-Apr-24,
zcrm_1936942000202942071,zcrm_1936942000221017268,KiaOmid_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Technology,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,16-Apr-24,0,Inbound,Patent,,FALSE,30-Jun-24,
zcrm_1936942000202942071,zcrm_1936942000216488283,KiaOmid_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Technology,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,16-Apr-24,0,Inbound,Patent,,FALSE,31-May-24,
zcrm_1936942000202942071,zcrm_1936942000224417266,KiaOmid_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Technology,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,16-Apr-24,0,Inbound,Patent,,FALSE,31-Jul-24,
zcrm_1936942000205858030,zcrm_1936942000224417039,RothSteven_HAGENSBERMAN_Cigna,28-Mar-24,Antitrust,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,15-Apr-24,50,Inbound,Patent,410 Anti-Trust,TRUE,31-Jul-24,31-Jul-24
zcrm_1936942000205858030,zcrm_1936942000221017055,RothSteven_HAGENSBERMAN_Cigna,28-Mar-24,Antitrust,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,15-Apr-24,36,Inbound,Patent,410 Anti-Trust,TRUE,30-Jun-24,31-Jul-24
zcrm_1936942000205858030,zcrm_1936942000212160409,RothSteven_HAGENSBERMAN_Cigna,28-Mar-24,Antitrust,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,15-Apr-24,20,Inbound,Patent,410 Anti-Trust,TRUE,30-Apr-24,31-Jul-24
zcrm_1936942000205858030,zcrm_1936942000216488321,RothSteven_HAGENSBERMAN_Cigna,28-Mar-24,Antitrust,Pharmaceuticals,Susanna Ryan,Hagens Berman Sobol Shapiro LLP,Cases Underway (5),,15-Apr-24,65,Inbound,Patent,410 Anti-Trust,TRUE,31-May-24,31-Jul-24
zcrm_1936942000202589789,zcrm_1936942000224417152,BellantoneRobert_Winston_LUPIN,5-Mar-24,Intellectual Property,Pharmaceuticals,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,15-Apr-24,0,Outbound,Patent,830 Patent,FALSE,31-Jul-24,
zcrm_1936942000202589789,zcrm_1936942000216488269,BellantoneRobert_Winston_LUPIN,5-Mar-24,Intellectual Property,Pharmaceuticals,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,15-Apr-24,0,Outbound,Patent,830 Patent,FALSE,31-May-24,
zcrm_1936942000202589789,zcrm_1936942000212118395,BellantoneRobert_Winston_LUPIN,5-Mar-24,Intellectual Property,Pharmaceuticals,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,15-Apr-24,0,Outbound,Patent,830 Patent,FALSE,30-Apr-24,
zcrm_1936942000202589789,zcrm_1936942000221017155,BellantoneRobert_Winston_LUPIN,5-Mar-24,Intellectual Property,Pharmaceuticals,Christopher Park,Winston & Strawn LLP,Cases Underway (5),,15-Apr-24,0,Outbound,Patent,830 Patent,FALSE,30-Jun-24,
zcrm_1936942000197985655,zcrm_1936942000212118479,GoldsmithDavid_BURSORFISHERPA_Sidhueta,5-Feb-24,Class Action,Medical,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,11-Apr-24,4,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,30-Apr-24,31-May-24
zcrm_1936942000197985655,zcrm_1936942000216407233,GoldsmithDavid_BURSORFISHERPA_Sidhueta,5-Feb-24,Class Action,Medical,Amy Perkins,Bursor & Fisher PA,Cases Underway (5),,11-Apr-24,7.7,Inbound,Expansion,370 Other Fraud or Truth in Lending,TRUE,31-May-24,31-May-24
zcrm_1936942000205434510,zcrm_1936942000216407228,PyleApril_FaegreDrinker_COOKMYOSITEINC,25-Mar-24,Intellectual Property,Biotechnology,Kara Magid,Faegre Drinker,Cases Underway (5),,9-Apr-24,34,Inbound,Patent,830 Patent,FALSE,31-May-24,31-Jul-24
zcrm_1936942000205434510,zcrm_1936942000224417100,PyleApril_FaegreDrinker_COOKMYOSITEINC,25-Mar-24,Intellectual Property,Biotechnology,Kara Magid,Faegre Drinker,Cases Underway (5),,9-Apr-24,5,Inbound,Patent,830 Patent,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000205434510,zcrm_1936942000221017045,PyleApril_FaegreDrinker_COOKMYOSITEINC,25-Mar-24,Intellectual Property,Biotechnology,Kara Magid,Faegre Drinker,Cases Underway (5),,9-Apr-24,79,Inbound,Patent,830 Patent,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000205434510,zcrm_1936942000212160391,PyleApril_FaegreDrinker_COOKMYOSITEINC,25-Mar-24,Intellectual Property,Biotechnology,Kara Magid,Faegre Drinker,Cases Underway (5),,9-Apr-24,33,Inbound,Patent,830 Patent,FALSE,30-Apr-24,31-Jul-24
zcrm_1936942000204024025,zcrm_1936942000212118539,KhannaYash_Clyde&Co_BERKLEYENVIRONMENTAL,14-Mar-24,Tort,Building and Construction,Kara Magid,Clyde & Co,Cases Underway (5),,8-Apr-24,6,Inbound,Expansion,,FALSE,30-Apr-24,30-Apr-24
zcrm_1936942000204024025,zcrm_1936942000221017266,KhannaYash_Clyde&Co_BERKLEYENVIRONMENTAL,14-Mar-24,Tort,Building and Construction,Kara Magid,Clyde & Co,Cases Underway (5),,8-Apr-24,0,Inbound,Expansion,,FALSE,30-Jun-24,30-Apr-24
zcrm_1936942000204024025,zcrm_1936942000216488262,KhannaYash_Clyde&Co_BERKLEYENVIRONMENTAL,14-Mar-24,Tort,Building and Construction,Kara Magid,Clyde & Co,Cases Underway (5),,8-Apr-24,0,Inbound,Expansion,,FALSE,31-May-24,30-Apr-24
zcrm_1936942000204024025,zcrm_1936942000224417264,KhannaYash_Clyde&Co_BERKLEYENVIRONMENTAL,14-Mar-24,Tort,Building and Construction,Kara Magid,Clyde & Co,Cases Underway (5),,8-Apr-24,0,Inbound,Expansion,,FALSE,31-Jul-24,30-Apr-24
zcrm_1936942000203202239,zcrm_1936942000212118444,DriessenBernd_HodgsonRuss_ZARRETT,8-Mar-24,Tort,Agriculture,Susanna Ryan,Hodgson Russ,Cases Underway (5),,6-Apr-24,13.39,Inbound,Patent,,FALSE,30-Apr-24,30-Apr-24
zcrm_1936942000203202239,zcrm_1936942000216407231,DriessenBernd_HodgsonRuss_ZARRETT,8-Mar-24,Tort,Agriculture,Susanna Ryan,Hodgson Russ,Cases Underway (5),,6-Apr-24,0,Inbound,Patent,,FALSE,31-May-24,30-Apr-24
zcrm_1936942000203202239,zcrm_1936942000224417194,DriessenBernd_HodgsonRuss_ZARRETT,8-Mar-24,Tort,Agriculture,Susanna Ryan,Hodgson Russ,Cases Underway (5),,6-Apr-24,0,Inbound,Patent,,FALSE,31-Jul-24,30-Apr-24
zcrm_1936942000203202239,zcrm_1936942000221017195,DriessenBernd_HodgsonRuss_ZARRETT,8-Mar-24,Tort,Agriculture,Susanna Ryan,Hodgson Russ,Cases Underway (5),,6-Apr-24,0,Inbound,Patent,,FALSE,30-Jun-24,30-Apr-24
zcrm_1936942000204818203,zcrm_1936942000221017103,AhearnOwen_CozenO'Connor_CLEARBLUE,20-Mar-24,Tort,Building and Construction,Amy Perkins,Cozen O'Connor,Cases Underway (5),,5-Apr-24,5,Inbound,Expansion,,FALSE,30-Jun-24,30-Jun-24
zcrm_1936942000204818203,zcrm_1936942000216407428,AhearnOwen_CozenO'Connor_CLEARBLUE,20-Mar-24,Tort,Building and Construction,Amy Perkins,Cozen O'Connor,Cases Underway (5),,5-Apr-24,0,Inbound,Expansion,,FALSE,31-May-24,30-Jun-24
zcrm_1936942000202946016,zcrm_1936942000224417058,DelmanJoel_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Industrial /Mechanical Design of Consumer Products,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,2-Apr-24,18,Inbound,Patent,,TRUE,31-Jul-24,31-Jul-24
zcrm_1936942000202946016,zcrm_1936942000221017094,DelmanJoel_QuinnEmanuel_GOPRO,6-Mar-24,Intellectual Property,Industrial /Mechanical Design of Consumer Products,Christopher Park,Quinn Emanuel Urquhart & Sullivan LLP,Cases Underway (5),,2-Apr-24,7.5,Inbound,Patent,,TRUE,30-Jun-24,31-Jul-24
zcrm_1936942000202934286,zcrm_1936942000216407420,PetersonBradley_Alston&Bird_SEPPIC,7-Mar-24,Intellectual Property,Medical,Christopher Park,Alston & Bird LLP,Cases Underway (5),,2-Apr-24,0,Inbound,Patent,830 Patent,TRUE,31-May-24,31-Jul-24
zcrm_1936942000202934286,zcrm_1936942000212118618,PetersonBradley_Alston&Bird_SEPPIC,7-Mar-24,Intellectual Property,Medical,Christopher Park,Alston & Bird LLP,Cases Underway (5),,2-Apr-24,4,Inbound,Patent,830 Patent,TRUE,30-Apr-24,31-Jul-24
zcrm_1936942000202934286,zcrm_1936942000221017047,PetersonBradley_Alston&Bird_SEPPIC,7-Mar-24,Intellectual Property,Medical,Christopher Park,Alston & Bird LLP,Cases Underway (5),,2-Apr-24,58.75,Inbound,Patent,830 Patent,TRUE,30-Jun-24,31-Jul-24
zcrm_1936942000202934286,zcrm_1936942000224417119,PetersonBradley_Alston&Bird_SEPPIC,7-Mar-24,Intellectual Property,Medical,Christopher Park,Alston & Bird LLP,Cases Underway (5),,2-Apr-24,2,Inbound,Patent,830 Patent,TRUE,31-Jul-24,31-Jul-24
zcrm_1936942000201706004,zcrm_1936942000212118616,ParkerKevinKit_LathamWatkins_KOLON,27-Feb-24,Intellectual Property,Chemicals - Nonpharmaceuticals,Christopher Park,Latham & Watkins LLP,Cases Underway (5),,2-Apr-24,0,Outbound,Patent,,TRUE,30-Apr-24,
zcrm_1936942000202201149,zcrm_1936942000224417095,WagnerRobin_HoganLovells_TOMMYJOHN,29-Feb-24,Intellectual Property,Textile Products,Susanna Ryan,Hogan Lovells LLP,Cases Underway (5),,28-Mar-24,5.4,Outbound,Patent,830 Patent,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000202201149,zcrm_1936942000221017062,WagnerRobin_HoganLovells_TOMMYJOHN,29-Feb-24,Intellectual Property,Textile Products,Susanna Ryan,Hogan Lovells LLP,Cases Underway (5),,28-Mar-24,24.7,Outbound,Patent,830 Patent,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000202201149,zcrm_1936942000216407310,WagnerRobin_HoganLovells_TOMMYJOHN,29-Feb-24,Intellectual Property,Textile Products,Susanna Ryan,Hogan Lovells LLP,Cases Underway (5),,28-Mar-24,6.4,Outbound,Patent,830 Patent,FALSE,31-May-24,31-Jul-24
zcrm_1936942000202201149,zcrm_1936942000212160465,WagnerRobin_HoganLovells_TOMMYJOHN,29-Feb-24,Intellectual Property,Textile Products,Susanna Ryan,Hogan Lovells LLP,Cases Underway (5),,28-Mar-24,13.8,Outbound,Patent,830 Patent,FALSE,30-Apr-24,31-Jul-24
zcrm_1936942000193552001,zcrm_1936942000216407253,GursahaneyRajendra_SterneKessler_PEPSICO,27-Dec-23,Intellectual Property,Food/Beverage,Christopher Park,Sterne Kessler Goldstein & Fox P.L.L.C.,Cases Completed (6),,27-Mar-24,0,Inbound,Patent,,FALSE,31-May-24,30-Apr-24
zcrm_1936942000193552001,zcrm_1936942000221017227,GursahaneyRajendra_SterneKessler_PEPSICO,27-Dec-23,Intellectual Property,Food/Beverage,Christopher Park,Sterne Kessler Goldstein & Fox P.L.L.C.,Cases Completed (6),,27-Mar-24,0,Inbound,Patent,,FALSE,30-Jun-24,30-Apr-24
zcrm_1936942000193552001,zcrm_1936942000208005029,GursahaneyRajendra_SterneKessler_PEPSICO,27-Dec-23,Intellectual Property,Food/Beverage,Christopher Park,Sterne Kessler Goldstein & Fox P.L.L.C.,Cases Completed (6),,27-Mar-24,0,Inbound,Patent,,FALSE,31-Mar-24,30-Apr-24
